profile_id,layer_index,base_idx,top_idx,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,base_pressure_hpa,top_pressure_hpa,base_temperature_c,top_temperature_c,depth_m,delta_t_c,mean_gradient_c_100m,position_type,embedded_gap_count,embedded_gap_depth_total_m,method
31004_20000108_1200_12,0,0,4,680.0,1399.4,0.0,719.4000000000001,939.0,850.0,-28.899999999999977,-18.299999999999983,719.4000000000001,10.599999999999994,1.4734500973033076,G,1,35.10000000000002,gap_v3
31004_20000108_1200_12,1,7,8,5230.7,5439.0,4550.7,4759.0,500.0,517.0,-34.69999999999999,-33.89999999999998,208.30000000000018,0.8000000000000114,0.38406144983197826,HE,0,0.0,gap_v3
31004_20000111_1200_12,0,0,1,680.0,823.4,0.0,143.39999999999998,948.0,932.0,-31.49999999999997,-28.09999999999997,143.39999999999998,3.400000000000002,2.3709902370990257,G,0,0.0,gap_v3
31004_20000111_1200_12,1,4,6,1523.2,2212.3,843.2,1532.3000000000002,857.0,788.0,-29.09999999999997,-22.899999999999977,689.1000000000001,6.199999999999992,0.8997242780438239,HE,0,0.0,gap_v3
31004_20000112_1200_12,0,0,3,680.0,1389.4,0.0,709.4000000000001,937.0,850.0,-29.299999999999983,-23.899999999999977,709.4000000000001,5.400000000000006,0.7612066535100092,G,0,0.0,gap_v3
31004_20000112_1200_12,1,7,8,5180.7,5264.0,4500.7,4584.0,500.0,528.0,-39.099999999999966,-36.49999999999997,83.30000000000018,2.5999999999999943,3.1212484993997465,HE,0,0.0,gap_v3
31004_20000113_1200_12,0,0,1,680.0,749.6,0.0,69.60000000000002,933.0,925.0,-21.69999999999999,-20.899999999999977,69.60000000000002,0.8000000000000114,1.1494252873563378,G,0,0.0,gap_v3
31004_20000116_1200_12,0,0,2,680.0,1429.4,0.0,749.4000000000001,940.0,850.0,-24.899999999999977,-19.09999999999997,749.4000000000001,5.800000000000008,0.773952495329598,G,0,0.0,gap_v3
31004_20000129_1200_12,0,0,1,680.0,822.2,0.0,142.20000000000005,956.0,940.0,-26.899999999999977,-24.299999999999983,142.20000000000005,2.5999999999999943,1.8284106891701783,G,0,0.0,gap_v3
31004_20000129_1200_12,1,3,4,1048.2,1506.3,368.20000000000005,826.3,915.0,866.0,-24.299999999999983,-23.299999999999983,458.0999999999999,1.0,0.2182929491377429,HE,0,0.0,gap_v3
31004_20000129_1200_12,2,6,7,1728.6,2405.3,1048.6,1725.3000000000002,843.0,776.0,-24.09999999999997,-22.49999999999997,676.7000000000003,1.5999999999999979,0.23644155460322108,HE,0,0.0,gap_v3
31004_20000115_1200_12,0,0,1,680.0,809.6,0.0,129.60000000000002,941.0,925.0,-22.299999999999983,-21.49999999999997,129.60000000000002,0.8000000000000114,0.6172839506172926,G,0,0.0,gap_v3
31004_20000120_1200_12,0,0,3,680.0,1503.3,0.0,823.3,938.0,850.0,-31.899999999999977,-23.899999999999977,823.3,8.0,0.971699259079315,G,0,0.0,gap_v3
31004_20000114_1200_12,0,0,3,680.0,1046.1,0.0,366.0999999999999,938.0,898.0,-23.49999999999997,-19.09999999999997,366.0999999999999,4.400000000000002,1.2018574160065565,G,0,0.0,gap_v3
31004_20000117_1200_12,0,0,3,680.0,1046.1,0.0,366.0999999999999,938.0,898.0,-23.09999999999997,-19.899999999999977,366.0999999999999,3.199999999999992,0.8740781207320385,G,0,0.0,gap_v3
31004_20000117_1200_12,1,5,6,2819.3,2833.8,2139.3,2153.8,700.0,722.0,-27.69999999999999,-25.899999999999977,14.5,1.8000000000000114,12.413793103448354,HE,0,0.0,gap_v3
31004_20000201_1200_12,0,0,1,680.0,759.6,0.0,79.60000000000002,934.0,925.0,-16.099999999999966,-13.299999999999956,79.60000000000002,2.8000000000000096,3.5175879396985037,G,0,0.0,gap_v3
31004_20000118_1200_12,0,0,2,680.0,1439.3,0.0,759.3,945.0,850.0,-28.49999999999997,-24.69999999999999,759.3,3.799999999999983,0.5004609508758044,G,0,0.0,gap_v3
31004_20000203_1200_12,0,0,4,680.0,1929.6,0.0,1249.6,939.0,808.0,-28.299999999999983,-17.69999999999999,1249.6,10.599999999999994,0.8482714468629958,G,0,0.0,gap_v3
31004_20000131_1200_12,0,4,5,1473.3,1919.4,793.3,1239.4,854.0,809.0,-18.299999999999983,-15.699999999999989,446.10000000000014,2.5999999999999943,0.582828962116116,HE,0,0.0,gap_v3
31004_20000119_1200_12,0,0,2,680.0,1449.3,0.0,769.3,944.0,850.0,-35.29999999999998,-22.09999999999997,769.3,13.200000000000014,1.7158455738983511,G,0,0.0,gap_v3
