profile_id,n_inversion_layers,has_G,has_E,has_HE,lowest_layer_index,strongest_layer_index,lowest_base_agl_m,lowest_top_agl_m,lowest_delta_t_c,strongest_delta_t_c,strongest_depth_m,pattern
31004_20000514_1200_12,1,False,False,True,0,0,1574.6,1787.0,2.0,2.0,212.4000000000001,HE
31004_20000515_1200_12,1,False,False,True,0,0,2319.4,2600.3,0.8000000000000096,0.8000000000000096,280.9000000000001,HE
31004_20000513_1200_12,1,False,False,True,0,0,2384.5,2592.9,1.1999999999999886,1.1999999999999886,208.4000000000001,HE
31004_20000516_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000517_1200_12,1,False,False,True,0,0,4680.9,4814.7,3.0,3.0,133.80000000000018,HE
31004_20000521_1200_12,1,False,True,False,0,0,119.20000000000005,324.20000000000005,0.6000000000000245,0.6000000000000245,205.0,E
31004_20000526_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000522_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000527_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000523_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000520_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000525_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000524_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000529_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000528_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000531_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000530_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000602_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000601_1200_12,1,False,False,True,0,0,2135.7,2329.4,0.4000000000000341,0.4000000000000341,193.70000000000027,HE
31004_20000603_1200_12,1,True,False,False,0,0,0.0,119.20000000000005,0.8000000000000131,0.8000000000000131,119.20000000000005,G
31004_20000605_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000610_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000604_1200_12,1,True,False,False,0,0,0.0,118.60000000000002,0.3999999999999755,0.3999999999999755,118.60000000000002,G
31004_20000612_1200_12,1,False,False,True,0,0,2144.3,2543.1,1.599999999999966,1.599999999999966,398.7999999999997,HE
31004_20000611_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000606_1200_12,1,False,False,True,0,0,2517.5,2717.2,0.4000000000000341,0.4000000000000341,199.69999999999982,HE
31004_20000607_1200_12,1,False,False,True,0,0,3491.7,3886.3999999999996,1.3999999999999773,1.3999999999999773,394.6999999999998,HE
31004_20000609_1200_12,1,True,False,False,0,0,9.600000000000023,119.10000000000002,1.0,1.0,109.5,G
31004_20000608_1200_12,1,True,False,False,0,0,19.600000000000023,118.89999999999998,0.3999999999999737,0.3999999999999737,99.29999999999995,G
31004_20000614_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000613_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000616_1200_12,1,False,False,True,0,0,3482.1000000000004,3676.1000000000004,0.3999999999999764,0.3999999999999764,194.0,HE
31004_20000615_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000617_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000621_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000618_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000619_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000622_1200_12,2,False,False,True,0,0,1569.5,1978.3000000000002,1.6000000000000227,1.6000000000000227,408.8000000000002,MULTI
31004_20000623_1200_12,1,False,False,True,0,0,1932.6,2132.2,0.39999999999997726,0.39999999999997726,199.5999999999999,HE
31004_20000625_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000620_1200_12,1,False,False,True,0,0,3462.0,3856.3,0.5999999999999659,0.5999999999999659,394.3000000000002,HE
31004_20000624_1200_12,1,False,False,True,0,0,2497.9,2698.3,1.5,1.5,200.4000000000001,HE
31004_20000626_1200_12,1,False,False,True,0,0,323.5,922.7,0.8000000000000114,0.8000000000000114,599.2,HE
31004_20000627_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000629_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000628_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000630_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000714_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000706_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000702_1200_12,1,False,False,True,0,0,2485.7,2685.0,2.3000000000000114,2.3000000000000114,199.30000000000018,HE
31004_20000709_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000704_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000710_1200_12,1,False,False,True,0,0,659.4000000000001,1121.2,2.6000000000000227,2.6000000000000227,461.79999999999995,HE
31004_20000711_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000707_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000708_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000701_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000712_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000703_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000713_1200_12,2,False,True,True,0,0,119.20000000000005,314.79999999999995,5.599999999999966,5.599999999999966,195.5999999999999,E+HE
31004_20000705_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000716_1200_12,1,False,True,False,0,0,109.39999999999998,303.70000000000005,0.39999999999997726,0.39999999999997726,194.30000000000007,E
31004_20000715_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000720_1200_12,1,True,False,False,0,0,0.0,119.79999999999995,1.0,1.0,119.79999999999995,G
31004_20000718_1200_12,1,True,False,False,0,0,9.600000000000023,109.89999999999998,0.6000000000000227,0.6000000000000227,100.29999999999995,G
31004_20000728_1200_12,1,True,False,False,0,0,0.0,313.79999999999995,2.0,2.0,313.79999999999995,G
31004_20000719_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000717_1200_12,1,False,False,True,0,0,2247.6,2442.3,0.6000000000000227,0.6000000000000227,194.70000000000027,HE
31004_20000723_1200_12,1,False,False,True,0,0,2151.2,2344.4,2.0,2.0,193.20000000000027,HE
31004_20000726_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000722_1200_12,1,False,False,True,0,0,1116.1,1509.9,2.6000000000000245,2.6000000000000245,393.8000000000002,HE
31004_20000727_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000725_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000721_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000724_1200_12,1,False,False,True,0,0,2132.2,2319.4,2.099999999999966,2.099999999999966,187.20000000000027,HE
31004_20000729_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000731_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000730_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000806_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000802_1200_12,1,False,True,False,0,0,118.20000000000005,312.1,2.4000000000000377,2.4000000000000377,193.89999999999998,E
31004_20000801_1200_12,0,False,False,False,,,,,,,,NONE
