year,month,n_profiles,median_850,q25_850,q75_850,n_850,median_700,q25_700,q75_700,n_700,median_500,q25_500,q75_500,n_500
2013,3,61,-0.1850872554204099,-0.6644518272425246,0.03113809746224329,61,-0.2736752701363663,-0.5089058524173036,-0.09432182607055273,61,-0.41907711930032343,-0.5345006335675612,-0.30381354010792183,61
2013,4,60,-0.6185064163378682,-0.765510153254626,-0.47038777720314484,60,-0.5748647039388237,-0.7424243527773882,-0.47737737663920066,60,-0.5769609442478214,-0.6752716733311291,-0.5221390924128362,60
2013,5,61,-0.8151810771081072,-0.9387078961899518,-0.6002400960384153,61,-0.6884905170174086,-0.757372053419377,-0.5332986472424562,61,-0.6259037388969217,-0.7043999173724436,-0.5756899059638195,61
2013,6,58,-0.716190164774183,-0.8608132801014597,-0.5738672814293988,58,-0.6771966159446643,-0.7975950029394533,-0.5769520685283305,58,-0.6419106241871608,-0.7057835324004829,-0.5784591340820399,58
2013,7,58,-0.5899905086769676,-0.7180235631837695,-0.5047263422608121,58,-0.5794914541217333,-0.6824807370472555,-0.4844094957880054,58,-0.5538670719027432,-0.6267475475506333,-0.5001334140457042,58
2013,8,59,-0.3634330444506596,-0.5349635182810356,-0.16143168013385084,59,-0.47815973119669264,-0.555346172965185,-0.40053471747392744,59,-0.5248243933588763,-0.5636102923603922,-0.4769316730523634,59
2013,9,59,-0.5032149846239817,-0.6187720990035358,-0.20147168800846754,59,-0.5176915458719726,-0.6355019458248188,-0.4542211166741822,59,-0.5394709435534265,-0.5979319547746879,-0.5025803127920074,59
2013,10,60,-0.35252190413699025,-0.6297897146774599,0.0,60,-0.3873188574060433,-0.4926685901564596,-0.23214631079526496,60,-0.4760206499184052,-0.5281655658598841,-0.398660150524879,60
2013,11,58,0.2829604580296497,-0.3769539148646792,0.7494051698659656,58,-0.16221067289513919,-0.5380196284091784,0.018793729083044084,58,-0.4030532800381737,-0.5460378195993434,-0.2723787746317842,58
2013,12,62,0.47074712794001106,-0.28166941303460236,1.2036025951535065,62,-0.03774502084630362,-0.38032149369834367,0.3532809010882393,62,-0.3471385219672669,-0.48303116999394835,-0.12897551583631284,62
2014,1,59,0.378310214375789,-0.2146308082381109,0.7767500100287594,59,-0.038714672861013495,-0.2540937944934505,0.20799761223690363,59,-0.2939408110094192,-0.43492179984809304,-0.1741289831113068,59
2014,2,56,0.2954976529778854,-0.14721088946520153,0.6664738557032657,56,-0.14482986773070058,-0.31957674763666033,0.16847035154892998,56,-0.32352889004398466,-0.38983398008569714,-0.18398790214321964,56
2014,3,62,-0.17644758524386706,-0.6068295900887299,0.26568458151933044,62,-0.43275570205595904,-0.6512839036491834,-0.11308882661754635,62,-0.5121350562583191,-0.5949668614594286,-0.3968608487885531,62
2014,4,59,-0.47601611131453403,-0.6613714542967317,-0.2599927226935281,59,-0.6248884127834317,-0.7112623327369731,-0.4421444700095897,59,-0.6063472950890167,-0.6623048398436884,-0.5530286630597451,59
2014,5,61,-0.7193166491832774,-0.8862244233024905,-0.5837285662167038,61,-0.7230565182047651,-0.8019960791302799,-0.5732893047147312,61,-0.6740283952387777,-0.7326236693800869,-0.5969840941954149,61
2014,6,59,-0.706802978669699,-0.8186974259825754,-0.5908960623511872,59,-0.6865774116031584,-0.7719240147546321,-0.5876853347952062,59,-0.6243517942335608,-0.6913867391862678,-0.5725132413058633,59
2014,7,60,-0.4755118425333692,-0.5908012718719386,-0.37215010641859575,60,-0.6008400705335963,-0.7099086632828886,-0.4861189773113047,60,-0.6037166766893194,-0.6429529020802378,-0.5294856537388097,60
2014,8,60,-0.2963836582223389,-0.5107789075920987,-0.12884556133482855,60,-0.548260071772584,-0.6125198928517173,-0.46564408645252076,60,-0.5776085419794545,-0.6045766752037611,-0.5194127380254794,60
2014,9,58,-0.40305471932798165,-0.5937125106779435,-0.21995108345413317,58,-0.4412281632034196,-0.588833716210729,-0.3335609043885621,58,-0.5073095897131119,-0.5862311250968831,-0.4518410991392524,58
2014,10,61,-0.5091103965702051,-0.7241691452217794,-0.05048592704783614,61,-0.4467537512747072,-0.6141618497109824,-0.26627612834509384,61,-0.5111305400497675,-0.5912015301686661,-0.4260128673274212,61
2014,11,60,-0.14793842599838006,-0.6400186279927669,0.41424490697737415,60,-0.3110136185004855,-0.45243468149858673,-0.06239425089977309,60,-0.4443557366298382,-0.559828770151378,-0.3186165005682399,60
2014,12,62,0.3740828268063779,-0.1524865098425388,0.9805001166324184,62,0.11400655597571084,-0.12168439634305686,0.3195439361672654,62,-0.2214542188007935,-0.3693627242972495,-0.11577020992909723,62
2015,1,31,-0.05381407237992812,-0.4614867180257083,0.2525408940924253,31,-0.17947385821565262,-0.39986602163388746,-0.037990309557612456,31,-0.38920079629588217,-0.5015920924212315,-0.3060412162622091,31
2015,2,28,0.2308788644375953,-0.2666345682905014,0.9388327027200183,28,-0.17999428693974395,-0.4282145098430261,0.14975572170839355,28,-0.3675969938621778,-0.5154128624178327,-0.25062769640393184,28
2015,3,31,-0.2609603340292275,-0.56961370367834,0.14412030331641842,31,-0.5079308501158454,-0.6969509675900547,-0.17305853881976285,31,-0.5597214210942344,-0.6762124357237265,-0.43121494691517803,31
2015,4,60,-0.6394517869522476,-0.7850968215390406,-0.43674489461830607,60,-0.6429671264496108,-0.7242463256695135,-0.5358582876523121,60,-0.6250891608249829,-0.6823040752225134,-0.5505815832425818,60
2015,5,61,-0.8287292817679582,-0.8887065901011757,-0.6740283952387766,61,-0.7004532344458183,-0.7792918014856683,-0.6165387600241446,61,-0.6956114786530238,-0.7242197013394855,-0.6335641667894504,61
2015,6,57,-0.732045942193615,-0.8864741206748702,-0.6566850538481743,57,-0.7295023272466861,-0.8025754965085719,-0.5733996326658608,57,-0.6561788449596361,-0.7083749920228044,-0.5962418694290531,57
2015,7,60,-0.6937464377952864,-0.81529943325621,-0.5499878316938234,60,-0.7006713397372977,-0.7552392641849622,-0.6378517685568612,60,-0.6316478580717179,-0.6644985144141978,-0.6101100248921357,60
2015,8,61,-0.44593088071349224,-0.5664958187213361,-0.1000875766295525,61,-0.5204428174480664,-0.5893909626719037,-0.4757135703555324,61,-0.5772320631583128,-0.6211425078382269,-0.5231055097754087,61
2015,9,58,-0.36592075991188444,-0.49543163713588534,-0.10011495247726901,58,-0.4636658979646685,-0.5828867020796433,-0.34191742585899176,58,-0.5547540184105184,-0.6039410862057435,-0.49578356037251226,58
2015,10,62,-0.5909625349949854,-0.8329538840735161,-0.36975703207931515,62,-0.4178210162553238,-0.5932250536098614,-0.23449186920031356,62,-0.4890404319212401,-0.540024789571135,-0.404801950320183,62
2015,11,60,-0.14766507636412532,-0.5942968590586992,0.1905125810027474,60,-0.19956460968928827,-0.33789208986663855,-0.051689061471015776,60,-0.39086607739951185,-0.46097805188033947,-0.3054949916556587,60
2015,12,62,-0.20050547502236565,-0.4913868541497242,0.3578868834375221,62,-0.25837605422459264,-0.517661720027384,-0.011825580494912837,62,-0.44948254692159273,-0.5576074433065199,-0.3042483271243793,62
2016,1,60,-0.5691467976652793,-0.8092104922609754,0.10358683646268144,60,-0.11444582189130585,-0.319598689038437,0.14829154515033244,60,-0.3358618039325558,-0.4570454901062733,-0.2115366917368433,60
2016,2,58,-0.26586380198955767,-0.7360074867378252,0.08293702321664703,58,-0.17388965495423564,-0.3281197468360768,-0.021578225015557954,58,-0.37918366658170827,-0.47057365360443315,-0.29811605467377006,58
2016,3,61,-0.40386557046011945,-0.7106442144291709,-0.061218243036421365,61,-0.47098071922680773,-0.6282317691973133,-0.31678463594515693,61,-0.5466223295221609,-0.6312490343655498,-0.476940579329658,61
