profile_id,datetime_utc,year,month,cycle,layer_index,position_type,base_pressure_hpa,top_pressure_hpa,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,confirm_drop_c,embedded_gap_count,embedded_gap_depth_total_m,method
31004_20000117_1200_12,2000-01-17 12:00:00,2000,1,12,0,G,938.0,898.0,680.0,1046.1,0.0,366.0999999999999,366.0999999999999,3.199999999999992,0.8740781207320385,,0,0.0,height-primary gap-v3
31004_20000117_1200_12,2000-01-17 12:00:00,2000,1,12,1,HE,700.0,722.0,2819.3,2833.8,2139.3,2153.8,14.5,1.8000000000000114,12.413793103448354,,0,0.0,height-primary gap-v3
31004_20000118_1200_12,2000-01-18 12:00:00,2000,1,12,0,G,945.0,850.0,680.0,1439.3,0.0,759.3,759.3,3.799999999999983,0.5004609508758044,,0,0.0,height-primary gap-v3
31004_20000119_1200_12,2000-01-19 12:00:00,2000,1,12,0,G,944.0,850.0,680.0,1449.3,0.0,769.3,769.3,13.200000000000014,1.7158455738983511,,0,0.0,height-primary gap-v3
31004_20000120_1200_12,2000-01-20 12:00:00,2000,1,12,0,G,938.0,850.0,680.0,1503.3,0.0,823.3,823.3,8.0,0.971699259079315,,0,0.0,height-primary gap-v3
31004_20000129_1200_12,2000-01-29 12:00:00,2000,1,12,0,G,956.0,940.0,680.0,822.2,0.0,142.20000000000005,142.20000000000005,2.5999999999999943,1.8284106891701783,,0,0.0,height-primary gap-v3
31004_20000129_1200_12,2000-01-29 12:00:00,2000,1,12,1,HE,915.0,866.0,1048.2,1506.3,368.20000000000005,826.3,458.0999999999999,1.0,0.2182929491377429,,0,0.0,height-primary gap-v3
31004_20000129_1200_12,2000-01-29 12:00:00,2000,1,12,2,HE,843.0,776.0,1728.6,2405.3,1048.6,1725.3000000000002,676.7000000000003,1.5999999999999979,0.23644155460322108,,0,0.0,height-primary gap-v3
31004_20000130_1200_12,2000-01-30 12:00:00,2000,1,12,0,G,949.0,934.0,680.0,814.2,0.0,134.20000000000005,134.20000000000005,1.2000000000000437,0.8941877794337134,,0,0.0,height-primary gap-v3
31004_20000130_1200_12,2000-01-30 12:00:00,2000,1,12,1,HE,886.0,840.0,1255.7,1697.4,575.7,1017.4000000000001,441.70000000000005,4.3999999999999755,0.9961512338691363,,0,0.0,height-primary gap-v3
